review,sentiment
"best cartoon movie
Masztaar 3 April 2003

Hi, as a swede i can say that this is the most beautiful cartoon movie ever made (its
swedish), there has never been made anything like it, per Shlin has a special way to
make his cartoons.

this movie fits people of all ages, it never gets boring. i cant discribe in words how
wonderful this movie is, you immidiately want to live in ""melonia"" because its so
wonderful.

this is my favourite cartoon movie of all time if not my favourite alltime-movie, 1
recommend everyone to watch it, i dont know if theres an american verision out but lets
hope to the gods that there is

no one should miss this movie ever, there is nothing like it and you feel overwhelmed
with joy and happiness when you watch it. If i keep on this will just get boring to read,
but if you see this movie somewhere, get your hands on it.
",positive
"I may consider myself lucky to be alive to watch Christopher Nolan Works which get
better by years.

Oppenheimer is - with no doubt- going to be one of the best movies in the history.
Amazing cinematography, Exceptional acting and terrifying Soundtracks.

All the cast are great from cilian Murphy who is going for the oscar with this role to
Rupert Downey jr and Emily blunt and finally rami malik who has small scenes but you

will never forget them.

I didn't watch it in Imax as i couldn't wait and ran to the nearest cinema but now i will
sure book an irnax ticket.

Don't waste any time, book your ticket and Go watch it.. NOW.
",positive
"A feel-good, Shakespearian, colorful, character based film...
longskonk 2 August 2004

Warning: Spoilers

Over the sea lie Plutonia, an evil and destroyed island controlled by two icky
capitalist forcing poor children to make weapons. But the island is about to rust
and go under. So they are going to build their factories on Melonia, a beautiful
island controlled by the magician Prosphero. When they reach Melonia their plans
changes when they discovers the magic of Prosphero... And basically things get
worse...

""Resan till Melonia"" ('The Trip to Melonia') is another triumph alongside Per Rhlin's
other movies: ""Dunderklumpen"" ('The Big Super Dude Lump'), ""Karl Bertil
Johnssons Julafton"" ('Carl Bertil Johnsson's Christmas Eve') and the latest
""Hundhotellet ('The Dog hotel').

He makes a wonderful movie out of Shakespeare's ""The Tempest"". It's thoughtful,
witty, funny and very beautiful. I've only seen it in Swedish. Then it produces a lot
of quotes to remember, and the lovely voice acting that comes with the quotes is
just great! I have no idea about foreign versions, or if the translation is poor (well,
it's Shakespeare so it shouldn't be that bad in English either...) Ol there's always
the possibility to enjoy Ahlin's wonderful unique pictures

If you want to see a movie with quality and genuine feeling to it, see this one.
",positive
"This isn't just a love story, it's a life story.
cricketbat 21 September 2018

Every now and then, a film comes along that changes the way I think about life. About
Time is that kind of movie. This pleasantly unique film isn't just a love story, it's a life
story. It showcases a variety of relationships that go beyond the traditional rom-com
stereotypes. The story is uplifting, the acting is excellent and the humor is plentiful. This
movie made me want to be a better person, and I'm very glad I saw it.
",positive
"an unexpected delight
cinematic_aficionado 7 September 2013

A young man, like many others. Only he can travel in time. This main element of the
plot, is something that was difficult to digest throughout the film, since it was not a
predominantly sci-fi movie. This struggle was compensated by the successful interjection
that even with such ability, life can have difficulties.

The main character, did use this to his advantage to win the love of the girl he was so
fond of but still he often faced difficult choices as to let things happen or turn the time

back to prevent them.

One thing that makes this stand out is the somewhat philosophical approach, an
approach that is conveyed with simplicity so all can relate.

Overall, it is an intelligent film, with emotion and poignancy.
",positive
"So, I don't like romance movies. And it's not because I don't like love stories, it's because
I think most romance movies are kinda shallow. Love is a great thing, but, usually, a
regular love story, isn't enough for me to enjoy a movie.

I've watched this movie, like, a dozen times. It isn't about the love story nor the time
travel stuff. It's because of the small things. This movie makes me cry of happiness. It is
AMAZING how it makes me think about the people I care about, the people that cares
about me, the small happy moments in my life and many other things that, when I
notice, are making a tear come down into my cheek.

This movie changed me. And it keeps changing me every time I rewatch it. It made me
notice that life is amazing, even in it's simpliest moments. It showed me how I should
enjoy everyday as if it was my final. It made me a happier person. And for that, this
movie is my number one

Hope you enjoy it too.
",positive
"Avery tasty treat indeed!
ethanbresnett 14 October 2022

The Menu is a real treat. It will have you laughing while on the edge of your seat as it
navigates you through a restaurant experience to remember.

We are treated to a fantastic ensemble cast. Nicholas Hoult steals the show with a pitch
perfect performance of a pretentious foodie. Fiennes is so wonderfully unhinged as the
mysterious creator of the eponymous menu in a very layered role. Anya Taylor Joy as
always is so watchable, providing such an easy way in for the audience. The writing gives
them all such brilliant material which the whole cast executes with ease.

The style and staging of the piece can't be faulted at all. It is precise, inventive, and so
clean and polished which makes for a very visually appealing film.
",positive
"A sumptuous feast for the eyes
RahulMOO7 27 October 2022

Warning: Spoilers

Mark Mylod's ""The Menu' is a tasteful treat that manages to be gripping, satirical,
jarring, and hauntingly brilliant. The film is a great social commentary on class
values and class systems. It gives audiences an adrenaline rush that makes for an
exciting and wild viewing experience. The film is filled with twists and turns and
keeps the viewer guessing till the credits roll. Apart from its rich screenplay and
magnificent production design, the film also benefits from having a star-studded
cast. Ralph Fiennes as the stern and conservative Chef Slovik is the obvious
standout, but Anya Taylor-Joy as Margot aka Erin brings something different to the
table (literally). Nicholas Hoult as Tyler perfectly brings this rather douchey and
self-obsessed character to life. I went in completely blind, not having watched the
trailer and avoided any marketing for the movie, and I'm glad that I did. Everyone
should experience this movie by themselves and to not let anyone influence their
opinion. 1 wouldn't be surprised if the movie nabs Oscar nominations for best
production design and best screenplay. Mark Mylod fully utilized his creative outlet
and managed to craft something peculiar, unfamiliar, and delightful.

Final verdict: 9.5/10.
",positive
"It's a proverbial mature children's film.
Johnny-the-Film-Sentinel-2187 2 December 2022

This film is NOT meant to have the light-hearted happy-go-lucky vibes of Disney's 1940
Pinocchio movie, but rather a modernised take praising the wonders of childhood, faith
and friendship; up against the all-consuming tyranny of fascism (its take on Mussolini is
hilarious), deceptive show-business tactics; and the double-edged sword of Time (and
Life) itself,

Pinocchio is a conceptually HEAVY film that doesn't condescend on its younger audiences
nor it's older ones: it respects all the age groups equally and without compromising the
story and fairytale-qualities of the Pinocchio story at its core. It's like a hard-boiled
folktale that knows when to be optimistic and when to be cautionary in equal measures;
and that's the magic Guillermo Del Toro does so goddamn well in SPADES.

This is 2022's best animated feature film, and one of Netflix's best film offerings in years.
And it was worth the wait on Del Toro's part too.

Allin all, Pinocchio was WORTH IT; big time! And hella better than Disney's 2022 live-
action turd too.

It's a 5/5 star experience.
",positive
"Beautiful interpretation
masonsaul 13 December 2022

Guillermo Del Toro's Pinocchio is exactly that, a beautiful and unique interpretation of a
classic that explores death and grief in ways that are often emotional and heartbreaking
whilst still delivering a fun adventure with gorgeous animation against a classically
disturbing Del Toro backdrop.

Gregory Mann gives an incredible lead performance, imbuing Pinocchio with a boundless
warmth and naivety that thankfully never becomes annoying. Ewan McGregor makes for
a terrific comic relief and is an absolute joy to hear whenever he's on screen.

David Bradley is so good as Geppetto, subtly bringing so much pain to his character that
breaks your heart and makes his moments of happiness all the better to experience.
Rounding out the cast is Christoph Waltz, on point as usual with another truly evil
character.

Guillermo Del Toro's and Mark Gustafson's direction is absolutely phenomenal, everything
from the movement of the characters, to their designs and the vibrant colour palette is
gorgeous and endlessly watchable. The music by Alexandre Desplat is amazing, giving
the film a perfect sense of whimsy for a fairytale.
",positive
"Worthless sentimental trash
simonmills47 9 October 2019

I have nothing more to say about this terrible film beyond the title of my review.
",negative
"Waste of money and time
grbicandrea-32259 20 July 2023

It's so terrible and doesn't get better with time...Such a disappointment from Nolan. They
could've made it much much shorter because the movie is sooo slow. The dialogues are
so cringey and bad. The only good thing about this movie is cinematography. The acting
is okay but since the whole plot of the movie is really bad it oftentimes comes off as
cringey. I really recommend you not to watch this movie because you will only waste
your money and time but also your IQ level. There are many unnecessary nudity and sex
scenes as well. I was really looking forward to this, so I am very sad to write this.
",negative
"This movie should ban .
ezajhossain-96252 23 July 2023

Oppenheimer is a visually stunning but ultimately unsatisfying film. The film's non-linear
narrative is confusing and disorienting, and the film fails to explore the human cost of the
atomic bomb. Fans of Christopher Nolan's work may find something to enjoy, but the film
is unlikely to appeal to a wider audience. Literally it should be ban. Just telling about
comments story of making a atomic bomb. And that thing kill millions of innocent people
This movie make no sense.

Here are some specific criticisms of the film:

The film is too long and slow-paced.

The non-linear narrative is confusing and disorienting.

The supporting performances are uneven.

The film fails to explore the human cost of the atomic bomb.
",negative
"Lacks darkness
christophe92300 18 April 2013

The way Paul is going to escape from the clutches of Annie is what makes this movie
interesting, and in this sense Misery is particularly efficient because this plot offers tense
scenes and manages to captivate the viewer's attention from start to finish. Kathy Bates
is, by the way, excellent in her torturer psychopath role, as opposed to James Caan who
seems a bit uncomfortable.

In fact, the real problem is the movie lacks heaviness and darkness to be totally
convincing. Annie could have been much more demoniac, and Paul's character lacks
credibility, particularly in his behaviour. The atmosphere seems therefore a bit
sugarcoated and that is the big downside to this movie, that deserves no more than the
average mark.
",negative
"Feels like a cheap TV movie. Stick with the book instead.
meathookcinema 11 October 2021

World famous author Paul Sheldon crashes his car whilst driving in a blizzard but is
rescued by nurse and super-fan Annie Wilkes who has read everything he's ever
published as well as reading and viewing every interview he's ever given. Sheldon finds
himself trapped with multiple injuries included compound fractures to his legs meaning
that he is immobile and dependent on Wilkes to care for him. She also tells him that the
telephone lines and down and roads closed, both of which are lies, Things take a darker
tum still when Wilkes goes and buys the latest book by Sheldon which has just been
published (yes the road to town has mysteriously been reopened but there's no mention
of Wilkes taking Paul to a local hospital) only to discover that her favourite character
Misery has died during childbirth. Wilkes isn't happy about this. This is bad news for
Sheldon.
",negative
"The Menu began with a tone and tension that made me want more but
ultimately ended with confusion and disappointment.
Paragon240 22 November 2022

The hype for The Menu intrigued me. The reviews celebrated its genius. So I had to see
it. And when I sat in the theater and the credits began to roll, all o could say was, ""Huh?""
The Menu starts with Ready or Not vibes with a fish-out-of-water real-world character
who ends up at a fancy dinner with a collection of high society foodies and critics. The
trailer gave me expectations of cannibalism cult or Most Dangerous Game-type plots, but
instead, nothing really happened. I think I understood what The Menu was trying to
convey with its deeper meaning, but I still came up disappointed. Anya Taylor-Joy and the
rest of the cast gave great performances, but there was little that really brought the
movie together. Maybe the subversion of the cannibal or hunting expectation was the
movie's brilliance? The Menu definitely tried to be clever, but whether it was or not might
be open to interpretation. Ironically, I sat through the whole movie and left wanting
more... left hungry.
",negative
"The Menu Lacks Flavor
peeedeee-94281 15 December 2022

Warning: Spoilers

I saw all the glowing reviews for this movie, so I was expecting a winner. But this
menu lacked flavor.

Problems with this movie: Nobody you cared about; why did Chef decide to do this
final menu; why did everyone believe in his cause; how were these people who
came that 'bad' or deserving of their fate; why would he tell at least one of them
what he was planning; and what was the point of setting up a fake coast guard,
how did he know that would even be needed; what was the point of having his
mother there; how does the protagonist not only figure out how to start up the
boat but also pilot it in the dark.

The movie had good pacing, but the direction this film was going, even who would
survive in the end, was way too obvious early on. A shame that so many great
actors were somewhat wasted in this film.
",negative
"One dumb film.
LordCommandar 4 January 2023

Warning: Spoilers

If you are an avid film watcher and want your intelligence insulted by a story
depicting a bunch decent actors playing very inept roles as guest to dine at a
remote island restaurant hosted by a sadistic chef to then be massacre without
fighting back at all, then have at it. I mean this was absolutely appalling to watch
You really want me to believe that I'm trapped on a island defenseless against a
bunch of cooks? That there is no way to defend myself is anyway with a bunch of
utensils all around? Seriously? That I'm so supposed to just accept my fate at the
hand of dimwits based off a nonsensical menu to only become part of the menu?
Really? And that's the story premise I kid you not. No matter many hype reviews
have been posted, This was just one dumb film.
",negative
"Absence Of A Single Likable Character (Or Over-Arching Message} May
Limit The Palette Here
zkonedog 26 November 2022

Mark Mylod's ""The Menu' is clearly a satire of a great many things--class, snobbishness,
obsession, and the eating experience-in-general immediately spring to mind. While it
certainly gets some awkward laughs and throws enough bizarre sight/character gags to
live up to that satire moniker, it does so without one coherent, over-arcing message or a
single character to really root for.

For a very basic overview, ""The Menu"" follows Tyler (Nicholas Hoult) and Margot (Anya
Taylor-Joy) as they embark on a lavish/expensive dining experience coordinated by
master chef Slowik (Ralph Fiennes). As the courses progress and some weirdness--which
quickly becomes deadly-serious--pop ups, it becomes apparent that this ""fine dining' is
anything but.

To me, the glaring problem with ""The Menu' was that it lacked any character I could
really root for amidst the bizarre nature of the circumstances they are placed in. It
certainly isn't the Chef himself or any of the other pretentious passengers, and clearly
the protagonist is supposed to be Taylor-Joy's Margot. But even that character is difficult
to root for in the beginning and suffers from some thematic irregularity as more about
her is revealed. As such, it was difficult for me to become invested in this film when I
couldn't find a ""way in"".

T also believe that ""The Menu' is very much a ""throw a bunch of themes at the wall to
see what sticks' sort of movie. There are a number of undercurrents running through the
picture, but they are largely dangled in front of the audience before quickly moving on to
the next one. There is no overall take-home message or thoroughfare to be found here.

Ican give ""The Menu' 3-stars for at least being a competent production from a
visual/tonal standpoint--but no more. Even if one accepts the spattering of ideas that
constitute its plot, it may be difficult to find something (or someone) to make you truly
care one way or another.
",negative
"Wanted to like this but ...
margie713_ 8 September 2022

This review could've had a pity-2 star rating, but it wasn't that good. Florence Pugh as
always deserves at least a 9 but the plot, screenplay and editing let her down. Harry
Styles obviously slept with someone to capture the role (wink wink), he was that
unconvincing. Olivia Wilde was good in her acting role but disappointing as the director.
(Surprising since ""Booksmart' was excellent. Beginner's luck?

I won't spoil things by listing the (better) movies this is indebted to, but be prepared for
a predictable twist and clunky, unsatisfying resolution.

Oh, and this Is not a review ""bomb"" just because someone doesn't agree with its
deserved low ratings. Arrogant shills giving 10's for its perceived ""importance"" aren't
doing potential viewers a favor. I'm a retired professional woman, 2nd wave feminist and
I really, really didn't enjoy this movie. (Except Florence Pugh!)
",negative
"Bad Ripoff of the Truman Show
nickgrande 23 September 2022

Warning: Spoilers

Harry styles can NOT act. Florence and Chris tried to save the movie but ultimately
couldn't. The movie was very predictable, the ""twist"" was an exact copy of the
truman show. And it was underwhelming. Harry Styles acting was laughable. There
were so many plot holes and things that even at the end of the movie don't even
make sense. Especially the last car scene seems like olivia just wanted to get
action shots for the trailer. It's also kind of funny that she said the movie ratings
reflect the skill of the director and this movie is getting bad reviews, The only way
this movie gets good reviews will be from Harry Style fans that can't admit that he
can't act. Movie sucks.
",negative
"The absolute worst.
Viation 7 September 2019

As a man in my early twenties, RomComs are my guilty pleasure. I like them, I really do
And I've watched really bad ones and still liked them. Whether it was for their relatable
characters or their main cast, there's almost always something positive I can cling' to,
even in the bad RomComs, But this one was too much. While the gist of the story would
theoretically make for a good movie, gigantic plot holes, illogical use of the main
character's time traveling ability and the incredibly dumb (that painfully, cringe inducing
kinda dumb, not the cute kinda dumb) behavior of the main character make this
unwatchable for me. I realize I'm not necessarily the target audience but I would
recommend staying away from this even if you are.
",negative
"Misandrist Gunk
fun_michael 11 March 2023

It's advertised in the trailer that not everything is what it seems in Don't Worry Darling"".
The resolution however is so misandrist that it is almost beyond belief, even accounting
for the fact that this is pile of gunk ( there is no other word to describe it sufficiently) is
directed by Olivia Wilde, a women using her position to engage inappropriately with main
actor Harry Styles. Stylistically the movie is not bad, however the scenes with cars
departing the homes in a choreographed fashion could have been done better, and the
way the movie was shot was not cinematic but the perspectives used made it feel like
one of those ""made for TV movies"". In terms of logic the movie is also extremely poor. In
summary a waste of valuable life time which I can never get back.
",negative
"Bad (clearly a man wrote the screenplay)
oliviakd 6 December 2020

Warning: Spoilers

The protagonist faces no consequences for manipulating women or any of his
actions in general. I'm not sure what the point of this movie is, it ends with the
protagonist learning he needs to reflect on the good parts of his life as if there
were any bad moments. The only thing that really stood out for me was how this
film managed to anger and bore me simultaneously.
",negative
"Incredibly boring
cdmarker2001 7 November 2021

The whole movie was honestly lacking in all areas... it wasn't exciting, dramatic,
suspenseful, funny... nothing, The plot was dull, slow paced, the acting was bland. The
time traveling aspect is the only intriguing part and even that wasn't enough to keep
things interesting. 2 hours I would like to get back.

I don't understand how this has as high of a rating as it does.
",negative
"Heteronormative claptrap
helensmith-99298 9 January 2023

Warning: Spoilers

I wasn't sure what to expect because of course this is from the same director as
Love Actually, but I had heard this was much better. I was very disappointed - this
film is suffocatingly heteronormative and narcissistic. The main character spends
most of the film going back in time so he can manipulate a woman into loving him.
The female characters are unsubstantial and it is very much a male vehicle. Also it
is full of stereotypes e.g why his wife has to spend ages in front of mirror trying
dresses on. That's not what all women do! The only character I liked was the dad.
Absolute claptrap that thinks it's much cleverer than it is. Wish I hadn't wasted 2
hours of my time watching this rubbish!
",negative
"The Trailer was better than the Movie ..
Avid_Movie_Viewer 30 January 2014

Warning: Spoilers

Thad expectations from the trailer that this would be a tale of a protagonist that
had some social shortcomings and how time travel would help him overcome them
to fall in love.

Instead the movie appeared to be a quest by our protagonist to appear smooth and
suave with wornen in manufactured relationship. Our protagonist Tim pursues two
young women\girls in the film. One was puppy love that never comes to fruition
and the other was completely manufactured by the time travel. I never saw a
connection between Tim and Mary. We're supposed to believe that they fall in love
with each other the very first day they meet. That was a bit much to believe. Worse
is that he uses the time travel to manufacture the relationship. That's not love It's a
guy manipulating someone

Tim appeared like a needy guy who didn't want to do anything to screw up and end
a relationship. He did screw up and end the relationships on multiple occasions but
with the time travel he went back and fixed it. Funny but the relationship came off
as not genuine.

The relationship between Tim and his dad appeared very genuine from beginning to
end. That was the strength of this movie.

T actually thought our hero Tim would be forced to sacrifice his manufactured
relationship with Mary with something important that would require him to time
travel back before meeting Mary or having his children. There was a chance for this
with his sister's accident or his father's death but Tim chooses to help himself
instead which left me disappointed that everything was so easy.

This movie had potential but it took the road most traveled
",negative
"An illogical plot device with no actual plot, that tr:
misery
Stay_away_from_the_Metropol 25 December 2020

off into aimless

The cast is great and they all do the best they could with this material. However, the
movie has no other strengths. In the beginning, it's like, ""Ok, it's a typical rom com but
with a family of men who can travel back in time. Seems goofy but maybe they chose
this absurd plot device for a reason'. Nope.

What seems like an intriguing and amusing stretch in the beginning goes absolutely
nowhere and by the time you make it to the last half hour of the movie you realize the
absurdist concept serves no actual purpose. There is no actual plot, and no conflict. The
protagonist uses time travel to cheat his way into getting a girl to fall in love with him,
and then....he faces zero consequences, almost zero obstacles, and there is literally
nothing that occurs in the second half of the film to keep the viewer intrigued. There's
not even a story outside of what would occur with any middle aged couple on the most
surface level. It just trails off into a miserable aimlessness. The last half hour is painful,
and by the time you get there you realize the movie is not only far too long, but it
shouldn't exist at all

It's been a while since I've seen a movie that is neither effective in a realistic sense, nor
in a surreal sense. It's caught somewhere in an illogical middle ground, which to me,
makes it worthless. It kind of reminds me of Stranger Than Fiction but with even less
charm (at least Maggie Gyllenhaal's character is super unique and memorable in that).
That Rachel McAdams smile isn't nearly enough to save this one.
",negative
"This is the end of Nolan.
mericdx 27 September 2023

Thad one more chance for Nolan after the garbage Tenet. And i have none now. This
movie shows you how money talks in Hollywood. There is nothing good about this movie,
there isn't any theme or clear conflict of the plot even. Everything is mixed together in
this bore- fest auto biographic film. Its scenes are ripped off from other films and this
film pretends it is bigger than it is with its over the top sound design. 1 don't recommend
anyone to waste their time and money to this.

No characther development, nothing you can relate, Soulless, passionless filmmaking. I
couldn't believe what i was seeing.
",negative
"Overhyped and boring, with giant holes in its scenario
tonym-13883 22 July 2023

This movie was overhyped to the death starting months before the screening. It was
hailed as the film who is going to save Hollywood, and humanity.

Ultimately, it was an extremely long and boring movie

It had a lame 10 minutes explosion scene which doesn't resemble any kind of nuclear
explosion, and to think that Christopher Nolan has claimed that there are no special
effects in this film and everybody was giggling to see a real nuclear explosion

Robert Downey Jr's character has taken the whole movie as a hostage and could have
been removed completely. As a matter of fact this movie could be an hour less without
having any effect on the story.

As for the story, there are so much subplots (including one with numerous full frontal
nudity!!) and the things are dragged so long, you will not remember anything substantial
when you leave the theatre.

The only positive thing I can say about this movie is that it was great to see Gary Oldman
as US President.

But all in all, I feel so stupid for falling for this hype. Let this be a lessen for the next
time.
",negative
